"ID","Title","Alt Title","Special Mode Title","Locations","Comments"
"145","水晶の鼓動","","","Mor Dhona battle",""
"146","真実を求めて","","螺旋","The Binding Coil of Bahamut",""
"147","試練を超える力","","","The Binding Coil of Bahamut bosses",""
"148","魔導の軍勢","","","Imperial Castrums",""
"149","魔導城プラエトリウム","","","The Praetorium",""
"150","究極幻想","","","Ultima Weapon Phase 2",""
"151","鋼の理念","","","Cape Westwind/Garlean boss fights",""
"152","漆黒の王狼、咆吼せり","","","Gaius van Baelsar theme","Rise of the White Raven (199) with no vocals"
"153","斬","","","Odin FATE",""
"154","雷鳴","","","Special FATEs",""
"155","堕天せし者 ","","","The Howling Eye",""
"156","過重圧殺！　〜蛮神タイタン討滅戦〜","","","The Navel (Titan) phase 5",""
"157","タイタンの慟哭","","","The Navel (Titan) phase 1",""
"158","タイタンの憤怒","","","The Navel (Titan) phase 2",""
"159","タイタンの激震","","","The Navel (Titan) phase 3",""
"160","タイタンの心核 ","","","The Navel (Titan) phase 4",""
"161","終局 ","","","Ultima Escape",""
"162","神なき世界","","","Ultima Weapon Phase 1",""
"163","閃光","","","FFXIII crossover FATEs","Directly from FFXIII"
"164","ブレイズエッジ","","","FFXIII crossover FATEs","Directly from FFXIII"
"165","天より降りし力","","","ARR Zone special FATEs/ARR Relic duties","1.0 Track"
"166","爆ぜよ耐熱装備 ","","","Costa del Sol events","Fast ""Costa Del Sol"" music"
"167","静穏の森 ","","","The Shroud",""
"168","西風に乗せて","","","La Noscea",""
"169","灼熱の地へ","","","Thanalan",""
"170","クリスタルの雨","","","Mor Dhona",""
"171","全隊前へ！","","","Heavensward dungeon boss theme","The filename seems to imply this is from a FATE"
"172","その背に揺られて","","","Generic ARR Mounts","Also the 1.0 Goobbue theme"
"173","雷鳴","","","Ascian battles, Twintania",""
"174","守護天節","","","Seasonal event BGM areas",""
"175","星芒祭","","","Seasonal event BGM areas",""
"176","降神祭","","","Seasonal event BGM areas",""
"177","黒き悪魔 ","","","Shantotto theme (FFXI event)",""
"178","七匹の道化たち","","","Thornmarch Phase 1",""
"179","善王モグル・モグXII世","","","Thornmarch Phase 2",""
"180","傲慢","","Ever Upwards","Labyrinth of the Ancients",""
"181","奈落へ ","","","Labyrinth of the Ancients boss theme",""
"182","事件屋のアレ","","","Hildibrand episode theme",""
"183","フロンティア","","","Revenant's Toll (day)",""
"184","リフレクション ","","","Revenant's Toll (night)",""
"185","嵐の中の灯火","","","Pharos Sirius",""
"186","心温まる場所 ","","","The Mist, The Lavender Beds, The Goblet (day)",""
"187","体暖まる場所","","","The Mist, The Lavender Beds, The Goblet (night)",""
"188","イタズラっ子たち","","","East Shroud (Friendly Sylph area)",""
"189","燻る灰","","","Southern Thanalan (Friendly Amalj'aa area)",""
"190","不調和","","","Cutscenes (Mysterious)","Loops. See track 57, Discordance"
"191","桟道を上りて","","","Aesthetician","1.0 track"
"192","戦闘シーン1.X","","","Hildibrand FATEs/Hall of the Novice/B-ranks",""
"193","でぶチョコボ騎乗","","","Fat Chocobo Theme",""
"194","クズテツどもの歌","","","Outer La Noscea (Friendly Kobold area)",""
"195","ノォヴ一味","","","Western La Noscea (Friendly Sahagin area)",""
"196","Pa-Paya","","","Seasonal event BGM areas (Hatching-tide)",""
"197","魔大戦の傷跡 　〜腐敗遺跡 古アムダプール市街〜","","","Lost City of Amdapor",""
"198","戦乱","","","The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 1",""
"199","白銀の凶鳥、飛翔せり","","","The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 2",""
"200","善王モグル・モグXII世","","","Thornmarch (Good King Moggle Mog XII) phase 2",""
"201","ビッグブリッヂの死闘　〜新生〜","","","Battle on the Big Bridge (Gilgamesh)",""
"202","剣と剣　〜大迷宮　バハムート侵攻編〜","","螺旋","Second Coil/Final Coil trash music",""
"203","船乗りには難破を　〜蛮神リヴァイアサン前哨戦〜","","","The Whorleater (Leviathan) phase 1",""
"204","混沌の渦動　〜蛮神リヴァイアサン討滅戦：女性版〜","","","The Whorleater (Leviathan) phase 2",""
"205","メテオ","","","Cutscenes (Nael)",""
"206","不屈の挑戦","","","ARR mid-dungeon boss theme",""
"207","怒れる神々","","","The Lost City of Amdapor final boss / Dun Scaith final boss (Diabolos / Diabolos Hollow)",""
"208","憤怒","","","Brayflox's Longstop (Hard) boss","1.0 track"
"209","紅蓮の戦旗の下に　〜剣闘領域 ハラタリ修練所〜","","","Hard mode dungeon final bosses",""
"210","キャラバン護衛　〜剣闘領域 ハラタリ修練所〜","","","Halatali (Hard)","1.0 track"
"211","刃、厚いほどに","","","Various cutscenes, Foundation (The Forgotten Knight)",""
"212","ドーガとウネの心","","","Unei and Doga theme",""
"213","???","","","Seasonal event BGM areas","China lunar new year theme, needs name"
"214","紅蓮祭","","","Moonfire Faire",""
"215","何よりも高く","","","Ixal theme",""
"216","地平線の彼方　〜財宝伝説 ハルブレーカー・アイル〜","","","Hullbreaker Isle",""
"217","漆黒の誓い　〜惨劇霊殿 タムタラの墓所〜","","","Tam-Tara Deepcroft (Hard)",""
"218","絢爛　〜クリスタルタワー：シルクスの塔〜","","破砕 〜クリスタルタワー：シルクスの塔〜","The Syrcus Tower",""
"219","作戦会議室","","","Frontlines","Gate waiting theme"
"220","総員抜剣！","","血で血を洗って","Frontlines",""
"221","雷光雷鳴　〜蛮神ラムウ討滅戦〜","","","The Striking Tree (Ramuh)",""
"222","ゲーム理論","","","Puzzles/Minigames Theme",""
"223","時はこぼれ落ちて","","","Cutscenes (Crystal tower)",""
"224","卵が先か？","","","Chocobo training montage",""
"225","教皇","","","Cutscenes (Thordan)",""
"226","Answers - Reprise","","","Ul'dah (The Rising)",""
"227","斬","","","Urth's Fount",""
"228","永遠の誓い","","","Eternal Bond ceremony",""
"229","忍びの刃","","","Ninja trainer hideout",""
"230","雪上の足跡　〜蛮神シヴァ前哨戦〜","","","Akh Afah Amphitheatre (Shiva) phase 1, Eden's Verse: Refulgence (Savage) (Shiva) phase 1",""
"231","忘却の彼方　〜蛮神シヴァ討滅戦〜","","","Akh Afah Amphitheatre (Shiva) phase 2",""
"232","決戦","","","The Dragon's Neck","Directly from FFVI"
"233","秘密坑道　〜氷結潜窟 スノークローク大氷壁〜","","","Snowcloak",""
"234","落日の遺跡　〜遺跡救援 カルン埋没寺院〜","","","The Sunken Temple of Qarn (Hard)",""
"235","潮衝　〜逆襲要害 サスタシャ浸食洞〜","","","Sastasha (Hard)",""
"236","灰より生まれし者","","","The Final Coil of Bahamut (Turn 3) (Phoenix)",""
"237","Answers","","","The Final Coil of Bahamut (Turn 4) (Bahamut Prime)","Harp / vocals portion"
"238","Answers","","","The Final Coil of Bahamut (Turn 4) (Bahamut Prime)","Band / vocals portion"
"239","侵攻","","","Cutscenes (The Binding Coil of Bahamut)",""
"240","Answers","","","The Final Coil of Bahamut (Turn 4) (Bahamut Prime)","Chorus portion"
"241","悠久の風　〜新生〜","","","Cutscenes (Crystal tower)",""
"242","ビッグブリッヂの死闘　〜新生〜","","","Battle in the Big Keep Phase 1","Directly from FFV"
"243","銀の涙　〜幻龍残骸 黙約の塔〜","","","The Keeper of the Lake",""
"244","始祖たる幻龍","","","The Keeper of the Lake final boss (Midgardsormr), Alphascape v2.0 (Midgardsormr)","Generally just Midgardsormr's theme"
"245","聖域の罠　〜武装聖域 ワンダラーパレス〜","","","Wanderer's Palace (Hard)",""
"246","戦禍　〜邪念排撃 古城アムダプール〜","","","Amdapor Keep (Hard)",""
"247","薄闇　〜クリスタルタワー：闇の世界〜","","暗闇 〜クリスタルタワー：闇の世界〜","The World of Darkness",""
"248","奈落へ","","","The World of Darkness (Cerberus Stomach)","Muffled"
"249","死闘の序曲 / 最後の死闘　〜新生〜","","","The World of Darkness","Hunger into ""The Reach of Darkness"""
"250","マンダヴィル・ゴールドソーサー","","","Manderville Gold Saucer",""
"251","天国の扉","","","Chocobo racing 1",""
"252","チョコボレース","","","Chocobo racing 2",""
"253","Shuffle or Boogie","","","Triple Triad","Directly from FFVIII"
"254","戦神の教義　〜皇都イシュガルド防衛戦〜","","","The Steps of Faith",""
"255","仇敵　〜皇都イシュガルド防衛戦〜","","","The Steps of Faith final gate theme",""
"256","運命の導き","","","The Wanderer's Palace (Hard) bosses","1.0 Hamlet defense track"
"257","全隊前へ！","","","The Wanderer's Palace (Hard) final boss",""
"258","チョコボレース優勝1","","","Chocobo racing",""
"259","チョコボレース優勝2","","","Chocobo racing",""
"260","チョコボレース優勝3","","","Chocobo racing",""
"261","チョコボレース","","","Chocobo racing",""
"262","魔導仕掛けの友","","","Magitek Armor mount","Terra's Theme (FFVI) remix"
"263","斬","","","Sleipnir mount",""
"264","忘却の彼方　〜蛮神シヴァ討滅戦〜","","","Akh Afah Amphitheatre (Extreme) (Shiva) mount",""
"265","雷光雷鳴　〜蛮神ラムウ討滅戦〜","","","The Striking Tree (Extreme) (Ramuh) mount",""
"266","混沌の渦動　〜蛮神リヴァイアサン討滅戦〜","","","The Whorleater (Extreme) (Leviathan) mount",""
"267","過重圧殺！　〜蛮神タイタン討滅戦〜","","","The Navel (Extreme) (Titan) mount",""
"268","堕天せし者　〜蛮神ガルーダ討伐戦〜","","","The Howling Eye (Extreme) (Garuda) mount",""
"269","原始の審判　〜蛮神イフリート討伐戦〜","","","The Bowl of Embers (Extreme) (Ifrit) mount",""
"270","無","","","","Empty sound"
"271","雪風","","","Heavensward title screen",""
"272","Dragonsong","","","Heavensward credits",""
"273","旅の宿","","","Heavensward sanctuary music",""
"274","みんなでいれば怖くない","","","Heavensward sanctuary music 2",""
"275","ノブレス・オブリージュ　〜イシュガルド上層：昼〜","","","The Pillars (day)",""
"276","ノブレス・スリープス　〜イシュガルド上層：夜〜","","","The Pillars (night)",""
"277","堅牢　〜イシュガルド下層：昼〜","","","The Foundation (day)",""
"278","雲霧街の夜霧　〜イシュガルド下層：夜〜","","","The Foundation (night)",""
"279","風に向かって　〜クルザス西部高地：昼〜","","","Coerthas Western Highlands (day)",""
"280","黒闇と白雪　〜クルザス西部高地：夜〜","","","Coerthas Western Highlands (night)",""
"281","熱戦　〜イシュガルド地方：戦闘〜","","","Coerthas Western Highlands combat","All ""Melt"" are the same track"
"282","彩られし山麓　〜高地ドラヴァニア：昼〜","","","Dravanian Forelands (day)",""
"283","彩られし夜空　〜高地ドラヴァニア：夜〜","","","Dravanian Forelands (night)",""
"284","熱戦　〜イシュガルド地方：戦闘〜","","","Dravanian Forelands combat","All ""Melt"" are the same track"
"285","欠けた頁　〜低地ドラヴァニア：昼〜","","","Dravanian Hinterlands (day)",""
"286","静寂の星空　〜低地ドラヴァニア：夜〜","","","Dravanian Hinterlands (night)",""
"287","熱戦　〜イシュガルド地方：戦闘〜","","","Dravanian Hinterlands combat","All ""Melt"" are the same track"
"288","ランドロード　〜ドラヴァニア雲海：昼〜","","","Churning Mists (day)",""
"289","スカイロード　〜ドラヴァニア雲海：夜〜","","","Churning Mists (night)",""
"290","熱戦　〜イシュガルド地方：戦闘〜","","","Churning Mists combat","All ""Melt"" are the same track"
"291","雲に隠れて　〜アバラシア雲海：昼〜","","","Sea of Clouds (day)",""
"292","天上の世界　〜アバラシア雲海：夜〜","","","Sea of Clouds (night)",""
"293","熱戦　〜イシュガルド地方：戦闘〜","","","Sea of Clouds combat","All ""Melt"" are the same track"
"294","未解読法則　〜魔大陸アジス・ラー〜","","","Azys Lla",""
"295","熱戦　〜イシュガルド地方：戦闘〜","","","Azys Lla combat","All ""Melt"" are the same track"
"296","約束の地","","","Idyllshire (day)",""
"297","ホームステッド","","","Idyllshire (night)",""
"298","マトーヤの洞窟　〜蒼天〜","","","Matoya's Cave",""
"299","堕落　〜廃砦捜索 ダスクヴィジル〜","","","Dusk Vigil",""
"300","夏の雨の如く　〜神域浮島 ネバーリープ〜","","","Neverreap",""
"301","永遠の眠り　〜霊峰踏破 ソーム・アル〜","","","Sohm Al",""
"302","邪竜の咆吼　〜邪竜血戦 ドラゴンズエアリー〜","","","The Aery",""
"303","万世の言葉　〜禁書回収 グブラ幻想図書館〜","","","Great Gubal Library",""
"304","イマジネーション　〜蒼天聖戦 魔科学研究所〜","","","Aetherochemical Research Facility",""
"305","聖座　〜強硬突入 イシュガルド教皇庁〜","","","The Vault",""
"306","聖座　〜強硬突入 イシュガルド教皇庁〜","","","The Vault","Slightly muffled"
"307","聖座　〜強硬突入 イシュガルド教皇庁〜","","","The Vault","Slightly more muffled"
"308","アンブレーカブル　〜博物戦艦 フラクタル・コンティニアム〜","","","Fractal Continuum",""
"309","不吉なる前兆","","","Heavensward boss theme",""
"310","武神降臨　〜蛮神ラーヴァナ前哨戦〜","","","Thok ast Thok (Ravana) phase 1",""
"311","果てなき蒼　〜蛮神ビスマルク前哨戦〜","","","The Limitless Blue (Bismarck) phase 1",""
"312","英傑は死なず　〜蒼天幻想 ナイツ・オブ・ラウンド討滅戦〜","","","The Singularity Reactor, The Minstrel's Ballad: Thordan's Reign phase 2",""
"313","闘争","","","Heavensward cutscenes, Churning Mists (Zenith)",""
"314","誤想","","","Heavensward cutscenes",""
"315","蒼天騎士団","","","Vault final boss (Ser Charibert)",""
"316","石と鋼","","","Heavensward cutscenes (Heroic)",""
"317","天のため","","","Heavensward cutscenes",""
"318","発端","","","Heavensward cutscenes",""
"319","国境なき空","","","Default flying mount theme",""
"320","竜の葬送歌","","","Heavensward cutscenes","This version loops"
"321","究極幻想","","","Proto Ultima FATE, Proto Ultima battle (Dun Scaith)",""
"322","それは愛くぽ？","","","The Churning Mists (Moogles)",""
"323","製造者責任　〜機工城アレキサンダー：起動編〜","","","Alexander trash theme",""
"324","ローカス　〜機工城アレキサンダー：起動編〜","","","Alexander boss theme",""
"325","曲がらぬ刃　〜蛮神ラーヴァナ討滅戦〜","","","Thok ast Thok phase 2",""
"326","狂気なる災厄　〜蛮神ビスマルク討滅戦〜","","","The Limitless Blue phase 2",""
"327","メタル　〜機工城アレキサンダー：起動編〜","","メタル　〜機工城アレキサンダー：起動編〜","Alexander - Fist of the Father","Instrumental, vocals begin when in combat"
"328","汗を流して","","","FC workshop/leves","1.0 track"
"329","鐘声 ～強硬突入 イシュガルド教皇庁～","","","The Vault","Seems to be bells from The Vault judging by filename"
"330","守護天節","","","Witch's Broom mount",""
"331","鋼の理念","","","Red Baron / White Devil mounts",""
"332","Battle Theme","","","The Maiden's Rhapsody (FFXI)",""
"333","Battle Theme #2","","","The Maiden's Rhapsody (FFXI)",""
"334","Recollection","","","The Maiden's Rhapsody (FFXI)",""
"335","サンドリア王国","","","The Maiden's Rhapsody (FFXI)",""
"336","バストゥーク共和国","","","The Maiden's Rhapsody (FFXI)",""
"337","ウィンダス連邦","","","The Maiden's Rhapsody (FFXI)",""
"338","メリー・ワンダラー・ワルツ","","","","Same as 399, but the filename seems to imply this is a Hildibrand theme"
"339","雷雨の如く","","","Sea of Clouds (Hostile Vanu area)",""
"340","大らかな家","","","Sea of Clouds (Friendly Vanu area)",""
"341","英傑は死なず　〜蒼天幻想 ナイツ・オブ・ラウンド討滅戦〜","","","The Minstrel's Ballad: Thordan's Reign phase 1",""
"342","蒼き翼","","","The Diadem",""
"343","宝石　〜雲海探索 ディアデム諸島〜","","","The Diadem combat",""
"344","天より降りし力","","","The Diadem Notorious Monster battle","Loops at the same point as 36, but is different"
"345","有毒植物　〜草木庭園 聖モシャーヌ植物園〜","","","Saint Mocianne's Arboretum",""
"346","座礁　〜制圧巨塔 シリウス大灯台〜","","","Pharos Sirius (Hard)",""
"347","エーテル圏 ～魔航船ヴォイドアーク～","","深淵に潜む者 〜魔航船ヴォイドアーク〜","Void Ark",""
"348","ヴォイドの棺 ～魔航船ヴォイドアーク～","","","Void Ark (Echidna), The Weeping City of Mhach (Calofisteri) final bosses",""
"349","???","","","Lords of Verminion","Needs name"
"350","戦友","","","Lords of Verminion","File is specific to LoV"
"351","ネメシス","","","Lords of Verminion","File is specific to LoV"
"352","闇の口付","","","Lords of Verminion","File is specific to LoV"
"353","戦禍　〜邪念排撃 古城アムダプール〜","","","Lords of Verminion","File is specific to LoV"
"354","斬","","","Lords of Verminion","File is specific to LoV"
"355","ビッグブリッヂの死闘","","","Lords of Verminion","File is specific to LoV"
"356","螺旋","","","Lords of Verminion","File is specific to LoV"
"357","試練を超える力","","","Lords of Verminion","File is specific to LoV"
"358","プレリュード　〜再誕の煌めき〜","","","Kirin mount","81 that plays on Kirin"
"359","純愛の口づけ","","","Valentione's Day",""
"360","","","","","Likely test or filler audio"
"361","上り階段をくだれ　〜星海観測 逆さの塔〜","","","The Antitower",""
"362","踊る人形カルコブリーナ　〜蒼天〜","","","The Antitower",""
"363","繋がりし者たち","","","The Dravanian Forelands (Vath, hostile)",""
"364","分かたれし者たち","","","The Dravanian Forelands (Vath, friendly)",""
"365","死闘　〜蒼天〜","","","Containment Bay S1T7 (Sephirot) / Containment Bay P1T6 (Sophia) / Containment Bay Z1T9 (Zurvan) phase 1",""
"366","魔神　〜魔神セフィロト討滅戦〜","","","Containment Bay S1T7 (Sephirot) phase 2",""
"367","餓えた狼　〜ザ・フィースト〜","","","The Feast","Transitions to ""Dangertek"" during ""Culling Time"""
"368","古の都　〜神聖遺跡 古アムダプール市街〜","","","The Lost City of Amdapor (Hard)",""
"369","メタル：ブルートジャスティスモード　〜機工城アレキサンダー：律動編〜","","","Alexander - The Burden of the Son (Brute Justice) phase 2",""
"370","","","","","Likely test or filler audio"
"371","狂気なる災厄　〜蛮神ビスマルク討滅戦〜","","","The Limitless Blue (Extreme) (Bismarck) mount / White Lanner",""
"372","曲がらぬ刃　〜蛮神ラーヴァナ討滅戦〜","","","Thok ast Thok (Extreme) (Ravana) mount / Rose Lanner",""
"373","英傑　〜ナイツ・オブ・ラウンド討滅戦〜","","","The Minstrel's Ballad: Thordan's Reign (Thordan) mount / Round Lanner",""
"374","死闘　〜蒼天〜","","","Containment Bay S1T7 (Sephirot) mount / Warring Lanner",""
"375","不屈の闘志","","","Guildhests",""
"376","灰より生まれし者","","","Bennu mount",""
"377","戦神の教義　〜皇都イシュガルド防衛戦〜","","","Heavensward cutscenes","Shorter/quick start version"
"378","石と鋼","","","Heavensward cutscenes","Shorter/quick start version"
"379","始祖たる幻龍","","","Heavensward cutscenes","Shorter/quick start version"
"380","ハイパーレインボーＺ","","","Go Go Posing Rangers Theme","Also plays in PotD occasionally"
"381","自由なる風に吹かれて","","","The Parrock","A 1.0 La Noscea theme"
"382","Dragonsong","","","The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 1",""
"383","邪竜の急襲　〜ニーズヘッグ征竜戦〜","","","The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 2",""
"384","最期の咆哮　〜ニーズヘッグ征竜戦〜","","","The Final Steps of Faith (Nidhogg) / The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) phase 3",""
"385","勝利への猛攻","","","Regula van Hydrus's Theme",""
"386","詫言の詩　〜天竜宮殿 ソール・カイ〜","","","Sohr Khai",""
"387","聖なる助言者","","","Hullbreaker Isle (Hard)","1.0 track"
"388","草藪を掻きわけ","","","","1.0 track"
"389","黒衣の迷宮","","","PotD","1.0 track"
"390","淡き光の夢に","","","PotD","1.0 track"
"391","モードゥナの涙雨","","","PotD","1.0 track"
"392","漆黒のエッダ","","","PotD Floor 50 boss/Edda Blackbosom theme",""
"393","雨と涙に濡れて　〜禁忌都市マハ〜","","豪雨に打たれて　〜禁忌都市マハ〜","Weeping City of Mhach",""
"394","幾千の顔　〜禁忌都市マハ〜","","","Weeping City of Mhach (Ozma add phase)",""
"395","邪竜の急襲　〜ニーズヘッグ征竜戦〜","","","The Minstrel's Ballad: Nidhogg's Rage (Nidhogg) mount / Dark Lanner",""
"396","善王モグル・モグXXII世","","","Fat Moogle Mount",""
"397","ローカス　〜機工城アレキサンダー：起動編〜","","","Gobwalker Mount",""
