"ID","Title","Alt Title","Special Mode Title","Locations","Comments"
"70","大地低语*","","","Cutscenes (1.0)","拉诺西亚的疾风--通过副本获得，水城宝物库"
"71","拉诺西亚的疾风*","","","Cutscenes (1.0)","拉诺西亚的疾风--通过副本获得，水城宝物库"
"72","萨纳兰的黄昏*","","","Cutscenes (1.0)","萨纳兰的黄昏--通过副本获得，水城宝物库"
"73","露水之玉，明月之光*","","","The Lotus Stand (Kan-E-Senna)","露水之玉，明月之光--通过兑换获得，双蛇党补给负责人：格里达尼亚新街"
"74","沙中秘密*","","","Eorzean Alliance (Raubahn)","沙中秘密----通过兑换获得，恒辉队补给负责人：乌尔达哈现世回廊"
"75","海上涟漪*","","","Eorzean Alliance (Merlwyb)","海上涟漪--通过兑换获得，黑涡团补给负责人：利姆萨·罗敏萨上层甲板"
"76","帝国的意志*","","","Cutscenes (Empire)","帝国的意志--通过完成任务“启动欧米茄”获得"
"77","艾欧泽亚的守护者*","","","Cutscenes (Heroic)","艾欧泽亚的守护者--完成成就“旋律的沉醉者3”后获得"
"78","险恶*","","","Cutscenes (Suspense)","险恶--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"79","血脉**","","","Cutscenes (Tension)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"80","思维迷路*","","","Cutscenes (Mysterious/Hildibrand)","思维迷路--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"81","水晶序曲-再诞的辉煌*","","","Cutscenes","Remix with a slightly different harp"
"82","英雄凯旋*","","","Cutscenes (Resolution)","英雄凯旋--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"83","混沌的预感*","","","Cutscenes (Tension)","混沌的预感--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"84","永远的离别*","","","Cutscenes (Sad)","永远的离别--通过完成任务“路易索瓦的得意门生”获得"
"85","军略*","","","Wolves' Den / Northern Thanalan Sanctuaries","军略--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"86","唯一的行路*","","","Cutscenes (Positive)","唯一的行路--通过炼金术师制作配方“唯一的行路”获得"
"87","惬意*","","","Cutscenes (Positive)","惬意--通过商店购买，霞：金碟游乐场"
"88","极乐*","","","Cutscenes (Comedic)","极乐--通过商店购买，（1）住宅区商人：各住宅区 （2）杂用商人：各住宅区公寓大厅 （3）杂用商人：白银乡、穹顶皓天"
"89","走向世界*","","","Cutscenes (Heroic)","走向世界--通过炼金术师制作配方“走向世界”获得"
"90","遗迹**","","","Cutscenes (esp. Job quests)","1.x版本的原声音乐专辑『Before Meteor』收录"
"91","超越极限*","","","Job quest battles","超越极限--通过（1）副本获得，水城宝物库 （2）寻宝获得，陈旧的飞龙革地图“G7”"
"92","记忆的迷宫**","","","Cutscenes","1.x版本的原声音乐专辑『Before Meteor』收录"
"93","恬静一刻*","","","Cutscenes (Resolution)","恬静一刻--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"94","黑暗蔓延**","","","Cutscenes (Ascians)","1.x版本的原声音乐专辑『Before Meteor』收录"
"95","第七星历* / 新时代的黎明**","","","Cutscenes","Opens with The Seventh Sun, transitions to Dawn of a New Era"
"96","哀愁*","","","Cutscenes (Sad)","哀愁--通过商店购买，（1）住宅区商人：各住宅区 （2）杂用商人：各住宅区公寓大厅 （3）杂用商人：白银乡、穹顶皓天"
"97","祈祷之歌*","","","Cutscenes (Exposition)","祈祷之歌--通过商店购买，（1）住宅区商人：各住宅区 （2）杂用商人：各住宅区公寓大厅 （3）杂用商人：白银乡、穹顶皓天"
"98","心安之所**","","","Cutscenes (Resolution)","1.0 track"
"99","梦中的天空*","","","Cutscenes (Resolution)","梦中的天空--通过部队潜水艇探索获得，妖歌海：T"
"100","熙攘街市**","","","Cutscenes (Comedic)","1.0 track"
"101","蓄意*","","","Cutscenes (Comedic)","1.0 track"
"102","进退*","","","Cutscenes (Mysterious), Little Ladies' Day","1.0 track"
"103","非著名调查员*","","","Hildibrand Theme","非著名调查员--通过兑换获得，纪念品兑换员：金蝶游乐场"
"104","","","","",""
"105","大自然的恩赐**","","","Cutscenes, Eternal Bonding","1.0 track"
"106","飞舞的光辉**","","","Various, Eternal Bonding","Harp-only version of Prelude"
"107","枪旗**","","","Instanced battles, Fenrir battle","1.0 track"
"108","战斗1.X*","","","Hildibrand FATEs/Hall of the Novice/B-ranks","战斗1.X--通过兑换获得，纪念品兑换员：金蝶游乐场"
"109","","","","",""
"110","海风飘香*","","","Aleport/Moraby Drydocks","海风飘香--通过商店购买，杂用商人：西拉诺西亚"
"111","???","","","","Needs location & name, is an early unused version of A Reason To Live"
"112","献上我的灵魂*","","","Haukke Manor/Tam-Tara HM","献上我的灵魂--通过兑换获得，乔纳森：格里达尼亚旧街"
"113","英勇之士**","","","Instanced battles","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"114","破灭*","","","Cutscenes (Suspense)","破灭--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"115","宿命**","","","Boss FATEs","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"116","战士的直觉**","","","Later ARR Dungeons","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"117","奸计*","","","Instanced battles/Qarn HM","奸计--通过商店购买，（1）西兹恩拖塔：利姆萨·罗敏萨上层甲板 （2）弗克：乌尔达哈现世回廊 （3）莱安德琳：格里达尼亚新街"
"118","再来一杯！*","","","Bars and Taverns","再来一杯！--通过炼金术师制作配方“再来一杯”获得"
"119","灿烂阳光**","","","Costa del Sol","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"120","原始的审判*","","","The Bowl of Embers","原始的审判--通过炼金术师炼金秘籍第一卷制作配方“原始的审判”获得"
"121","骑背摇摇晃晃**","","","ARR mounts","1.x版本的原声音乐专辑『Before Meteor』收录、版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"122","古城墙内*","","","Amdapor Keep","古城墙内--通过副本获得，邪教驻地无限城古堡"
"123","冬贝利之泪*","","","The Wanderer's Palace","冬贝利之泪--通过副本获得，神灵圣域放浪神古神殿"
"124","昔日的回响*","","","The Sunken Temple of Qarn","昔日的回响--通过副本获得，古代遗迹喀恩埋没圣堂"
"125","憎恶*","","","Cutter's Cry","憎恶--通过副本获得，流沙迷宫樵鸣洞"
"126","极寒战线*","","","The Stone Vigil","极寒战线--通过副本获得，对龙城塞石卫塔"
"127","泽梅尔要塞*","","","Dzemael Darkhold","泽梅尔要塞--通过副本获得，山中战线泽梅尔要塞"
"128","守财奴的愚行*","","","The Aurum Vale","守财奴的愚行--通过副本获得，毒雾洞窟黄金谷"
"129","苍翼*","","","The Enterprise","苍翼--通过炼金术师炼金秘籍第三卷制作配方“苍翼”获得"
"130","预兆**","","","Cutscenes (Tension)","Excerpt from a longer 1.0 track"
"131","光之加护**","","","Warrior of Light","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"132","Answers -生死答问-*","","","ARR End Credits","Answers -生死答问--通过炼金术师炼金秘籍第四卷制作配方“Answers -生死答问-”获得"
"133","最终幻想*","","","ARR End Credits Special/1.0 players","1.0 ending"
"134","世界上奇妙的麻烦事**","","","East Shroud (Sylphs)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"135","狂风剑至**","","","North Shroud (Ixals)","1.x版本的原声音乐专辑『Before Meteor』收录"
"136","疾驰如银、坚硬如石**","","","Outer La Noscea (Kobolds)","1.x版本的原声音乐专辑『Before Meteor』收录"
"137","蛮勇**","","","Western La Noscea (Sahagin)","1.0 track"
"138","炎狱的火种**","","","Southern Thanalan (Amal'jaa)","1.0 track"
"139","","","","",""
"140","","","","",""
"141","忠义*","","","Coerthas Central Highlands","忠义--通过兑换获得，艾妮：天穹街"
"142","龙之葬歌**","","","Coerthas Central Highlands (Whitebrim)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"143","钢铁信仰**","","","Coerthas Central Highlands (Observatorium)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"144","雪山的鼓动**","","","Coerthas Central Highlands battle","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"145","水晶的鼓动**","","","Mor Dhona battle","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"146","寻求真相**","","螺旋","The Binding Coil of Bahamut","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"147","灾厄蔓延*","","","The Binding Coil of Bahamut bosses","灾厄蔓延--通过（1）副本获得，水城宝物库 （2）寻宝获得，陈旧的飞龙革地图“G7”"
"148","魔导军团*","","","Imperial Castrums","魔导军团--通过兑换获得，广域交易商 札娃娃：加雷马"
"149","天幕之下*","","","The Praetorium","天幕之下--通过兑换获得，广域交易商 札娃娃：加雷马"
"150","究极神兵*","","","Ultima Weapon Phase 2","究极神兵--通过完成成就“旋律的沉醉者2”获得"
"151","钢铁理念*","","","Cape Westwind/Garlean boss fights","钢铁理念--通过完成任务“出人意料的帮手”获得"
"152","漆黑的王狼、仰天咆哮**","","","Gaius van Baelsar theme","Rise of the White Raven (199) with no vocals"
"153","斩*","","","Odin FATE","斩--通过炼金术师炼金秘籍第二卷制作配方“斩”获得"
"154","雷鸣*","","","Special FATEs","雷鸣--通过炼金术师炼金秘籍第二卷制作配方“雷鸣”获得"
"155","堕天使*","","","The Howling Eye","堕天使--通过炼金术师炼金秘籍第一卷制作配方“堕天使”获得"
"156","过重圧杀！　〜蛮神泰坦歼灭战〜*","","","The Navel (Titan) phase 5","重压灭顶--通过炼金术师炼金秘籍第一卷制作配方“重压灭顶”获得"
"157","泰坦的恸哭**","","","The Navel (Titan) phase 1","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"158","泰坦的愤怒**","","","The Navel (Titan) phase 2","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"159","泰坦的激震**","","","The Navel (Titan) phase 3","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"160","泰坦的心核 **","","","The Navel (Titan) phase 4","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"161","终局**","","","Ultima Escape","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"162","没有神的世界**","","","Ultima Weapon Phase 1","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"163","闪光**","","","FFXIII crossover FATEs","Directly from FFXIII"
"164","烈焰边缘**","","","FFXIII crossover FATEs","Directly from FFXIII"
"165","天降之力*","","","ARR Zone special FATEs/ARR Relic duties","1.0 Track"
"166","防爆耐热装备**","","","Costa del Sol events","Fast ""Costa Del Sol"" music"
"167","沉静*","","","The Shroud","沉静--通过商店购买，麦森塔：格里达尼亚新街"
"168","乘上西风*","","","La Noscea","乘上西风--通过商店购买，班戈.赞戈：利姆萨.罗敏萨下层甲板"
"169","灼热之地*","","","Thanalan","灼热之地--通过商店购买，劳力士：乌尔达哈现世回廊"
"170","水晶雨*","","","Mor Dhona","水晶雨--通过深层迷宫“正统优雷卡”中的金/银辉宝藏鉴定获得，瓦莱罗瓦娜：摩杜纳"
"171","全队前进！**","","","Heavensward dungeon boss theme","The filename seems to imply this is from a FATE"
"172","骑背摇摇晃晃**","","","Generic ARR Mounts","Also the 1.0 Goobbue theme"
"173","雷鸣*","","","Ascian battles, Twintania","雷鸣--通过炼金术师炼金秘籍第二卷制作配方“雷鸣”获得"
"174","守护天节*","","","Seasonal event BGM areas","守护天节--通过道具商城获得"
"175","星芒节*","","","Seasonal event BGM areas","星芒节--通过道具商城获得"
"176","降神节*","","","Seasonal event BGM areas","降神节--通过道具商城获得"
"177","黑色恶魔**","","","Shantotto theme (FFXI event)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"178","七个小丑**","","","Thornmarch Phase 1","1.x版本的原声音乐专辑『Before Meteor』收录"
"179","贤王莫古尔·莫古十二世*","","","Thornmarch Phase 2","贤王莫古尔·莫古十二世--通过炼金术师炼金秘籍第一卷制作配方“贤王莫古尔·莫古十二世”获得"
"180","傲慢*","","Ever Upwards","Labyrinth of the Ancients","傲慢--通过炼金术师炼金秘籍第二卷制作配方“傲慢”获得"
"181","一落千丈*","","","Labyrinth of the Ancients boss theme","一落千丈--通过炼金术师炼金秘籍第二卷制作配方“一落千丈”获得"
"182","非著名调查员*","","","Hildibrand episode theme","非著名调查员--通过兑换获得，纪念品兑换员：金蝶游乐场"
"183","边境*","","","Revenant's Toll (day)","边境--通过兑换获得，（1）奥里亚娜：摩杜纳 （2）罗薇娜商会的商人：利姆萨·罗敏萨下层甲板、乌尔达哈现世回廊、格里达尼亚新街"
"184","倒影*","","","Revenant's Toll (night)","倒影--通过兑换获得，（1）奥里亚娜：摩杜纳 （2）罗薇娜商会的商人：利姆萨·罗敏萨下层甲板、乌尔达哈现世回廊、格里达尼亚新街"
"185","风暴中的灯火*","","","Pharos Sirius","风暴中的灯火--通过炼金术师炼金秘籍第一卷制作配方“风暴中的灯火”获得"
"186","心安之所**","","","The Mist, The Lavender Beds, The Goblet (day)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"187","体暖之所**","","","The Mist, The Lavender Beds, The Goblet (night)","版本 2.0 ~版本 2.1版本的原声音乐专辑『A Realm Reborn』收录 "
"188","小小捣蛋鬼*","","","East Shroud (Friendly Sylph area)","小小捣蛋鬼--通过兑换获得，妖精杂用商人：黑衣森林东部林区"
"189","熏灰*","","","Southern Thanalan (Friendly Amalj'aa area)","熏灰--通过兑换获得，蜥蜴人杂用商人：南萨纳兰"
"190","不调和**","","","Cutscenes (Mysterious)","Loops. See track 57, Discordance"
"191","崇山峻岭*","","","Aesthetician","1.0 track"
"192","战斗1.X*","","","Hildibrand FATEs/Hall of the Novice/B-ranks","战斗1.X--通过兑换获得，纪念品兑换员：金蝶游乐场"
"193","胖陆行鸟骑乘术**","","","Fat Chocobo Theme","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"194","废物的歌**","","","Outer La Noscea (Friendly Kobold area)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"195","诺布一伙**","","","Western La Noscea (Friendly Sahagin area)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"196","啪啪呀*","","","Seasonal event BGM areas (Hatching-tide)","啪啪呀--通过道具商城获得"
"197","魔大战的伤痕 ~腐坏遗迹无限城市街古迹~**","","","Lost City of Amdapor","魔大战的伤痕--通过炼金术师炼金秘籍第一卷制作配方“魔大战的伤痕”获得"
"198","战乱*","","","The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 1","战乱--通过兑换获得，纪念品兑换员：金蝶游乐场"
"199","白银凶鸟展翅翱翔*","","","The Second Coil of Bahamut (Turn 4) (Nael deus Darnus) phase 2","白银凶鸟展翅翱翔--通过炼金术师炼金秘籍第二卷制作配方“白银凶鸟展翅翱翔”获得"
"200","贤王莫古尔·莫古十二世*","","","Thornmarch (Good King Moggle Mog XII) phase 2","贤王莫古尔·莫古十二世--通过炼金术师炼金秘籍第一卷制作配方“贤王莫古尔·莫古十二世”获得"
"201","大桥上的死斗 ~新生~*","","","Battle on the Big Bridge (Gilgamesh)","大桥上的死斗--通过炼金术师炼金秘籍第一卷制作配方“大桥上的死斗”获得"
"202","剑与剑　〜巴哈姆特大迷宫　入侵之章〜**","","螺旋","Second Coil/Final Coil trash music","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"203","水手遇难　〜蛮神利维亚桑前哨战〜**","","","The Whorleater (Leviathan) phase 1","水手遇难--通过炼金术师炼金秘籍第一卷制作配方“水手遇难”获得"
"204","混沌的漩涡　〜蛮神利维亚桑歼灭战：女性版〜**","","","The Whorleater (Leviathan) phase 2","混沌的漩涡--通过炼金术师炼金秘籍第一卷制作配方“混沌的漩涡”获得"
"205","メテオ","","","Cutscenes (Nael)",""
"206","不屈の挑戦","","","ARR mid-dungeon boss theme",""
"207","蛮神之怒**","","","The Lost City of Amdapor final boss / Dun Scaith final boss (Diabolos / Diabolos Hollow)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"208","愤怒*","","","Brayflox's Longstop (Hard) boss","愤怒--通过副本获得，6号哥布林坦克：纷争要地布雷福洛克斯野营地"
"209","红莲战旗之下　〜剑斗领域日影地修炼所〜*","","","Hard mode dungeon final bosses","红莲战旗之下--通过副本获得，退位主教 穆穆埃珀&那罗希摩：剑斗领域日影地修炼所"
"210","一丘之貉　〜剑斗领域日影地修炼所〜**","","","Halatali (Hard)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"211","厚于利刃*","","","Various cutscenes, Foundation (The Forgotten Knight)","厚于利刃--通过兑换获得，阿尔多兰：伊修加德基础层"
"212","多加与乌内之心*","","","Unei and Doga theme","多加与乌内之心--通过炼金术师炼金秘籍第二卷制作配方修复由副本：水晶塔 希尔科斯塔中“始皇帝赞德”掉落的""陈旧的乐谱：多加与乌内之心""获得"
"213","???","","","Seasonal event BGM areas","China lunar new year theme, needs name"
"214","红莲节*","","","Moonfire Faire","红莲节--通过道具商城获得"
"215","比一切都高**","","","Ixal theme","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"216","越过地平线　〜财宝传说破舰岛〜*","","","Hullbreaker Isle","越过地平线--通过副本获得，克拉肯：财宝传说破舰岛"
"217","漆黑的誓言　〜惨剧灵殿塔姆·塔拉墓园〜*","","","Tam-Tara Deepcroft (Hard)","漆黑的誓言--通过炼金术师制作配方修复由副本：惨剧灵殿塔姆·塔拉墓园中“雄壮的阿维尔”或地下灵殿塔姆·塔拉墓园中“主宰者 加尔梵斯”掉落的""陈旧的乐谱：漆黑的誓言""获得"
"218","绚烂　〜水晶塔 希尔科斯塔〜*","","破砕 〜クリスタルタワー：シルクスの塔〜","The Syrcus Tower","绚烂--通过炼金术师炼金秘籍第二卷制作配方修复由副本：水晶塔 希尔科斯塔中“始皇帝赞德”掉落的""陈旧的乐谱：绚烂""获得"
"219","作战会议室**","","","Frontlines","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"220","全员拔剑！**","","血で血を洗って","Frontlines","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"221","电闪雷鸣　〜蛮神拉姆讨伐战〜*","","","The Striking Tree (Ramuh)","电闪雷鸣--通过炼金术师炼金秘籍第二卷制作配方修复由副本：拉姆歼殛战中“拉姆”掉落的""陈旧的乐谱：电闪雷鸣""获得"
"222","游戏理论*","","","Puzzles/Minigames Theme","游戏理论--通过兑换获得，纪念品兑换员：金碟游乐场"
"223","时光洒落**","","","Cutscenes (Crystal tower)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"224","鸡蛋先？**","","","Chocobo training montage","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
"225","教皇*","","","Cutscenes (Thordan)","版本 2.2 ~版本 2.5版本的原声音乐专辑『Before the Fall』收录"
